"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 23 11:11:13 GMT 2025","Mon Jun 23 11:11:13 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Mon Jun 23 11:11:12 GMT 2025","Mon Jun 23 11:11:13 GMT 2025","859","openwrt-one","test_lan","","","","test_lan_interface_address",""
"skipped","Mon Jun 23 11:09:53 GMT 2025","Mon Jun 23 11:09:53 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Mon Jun 23 11:11:09 GMT 2025","Mon Jun 23 11:11:09 GMT 2025","56","openwrt-one","test_base","","","","test_ssh",""
"passed","Mon Jun 23 11:11:06 GMT 2025","Mon Jun 23 11:11:07 GMT 2025","679","openwrt-one","test_base","","","","test_free_memory",""
"passed","Mon Jun 23 11:11:09 GMT 2025","Mon Jun 23 11:11:12 GMT 2025","3743","openwrt-one","test_base","","","","test_kernel_errors",""
"skipped","Mon Jun 23 11:11:13 GMT 2025","Mon Jun 23 11:11:13 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Mon Jun 23 11:11:03 GMT 2025","Mon Jun 23 11:11:04 GMT 2025","857","openwrt-one","test_base","","","","test_echo",""
"skipped","Mon Jun 23 11:11:13 GMT 2025","Mon Jun 23 11:11:13 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Mon Jun 23 11:11:09 GMT 2025","Mon Jun 23 11:11:09 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Mon Jun 23 11:11:09 GMT 2025","Mon Jun 23 11:11:09 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Mon Jun 23 11:11:05 GMT 2025","Mon Jun 23 11:11:06 GMT 2025","982","openwrt-one","test_base","","","","test_ubus_system_board",""
"skipped","Mon Jun 23 11:09:53 GMT 2025","Mon Jun 23 11:09:53 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Mon Jun 23 11:11:04 GMT 2025","Mon Jun 23 11:11:05 GMT 2025","682","openwrt-one","test_base","","","","test_uname",""
"passed","Mon Jun 23 11:11:03 GMT 2025","Mon Jun 23 11:11:03 GMT 2025","572","openwrt-one","test_base","","","","test_shell",""
"skipped","Mon Jun 23 11:11:13 GMT 2025","Mon Jun 23 11:11:13 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Mon Jun 23 11:11:07 GMT 2025","Mon Jun 23 11:11:07 GMT 2025","906","openwrt-one","test_base","","","","test_port_22_open",""
