"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117","test_free_memory","openwrt_one","Mon Jul 21 18:03:46 GMT 2025","passed","Mon Jul 21 18:03:46 GMT 2025","","test_base","",""
"","0","test_sysupgrade_backup","tests","Mon Jul 21 18:03:45 GMT 2025","skipped","Mon Jul 21 18:03:45 GMT 2025","","test_base","",""
"Test temperature sensors if available.","137","test_temperature_sensors","bananapi_bpi-r4","Mon Jul 21 18:03:43 GMT 2025","passed","Mon Jul 21 18:03:43 GMT 2025","TestSystemHealth","test_system_health","",""
"Test that sufficient entropy is available for cryptographic operations.","36","test_entropy_available","qemu-x86-64","Mon Jul 21 18:03:56 GMT 2025","passed","Mon Jul 21 18:03:56 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_https_download","tests","Mon Jul 21 18:04:46 GMT 2025","skipped","Mon Jul 21 18:04:46 GMT 2025","","test_wan","",""
"Test system-wide open file descriptors.","66","test_open_file_descriptors","openwrt_one","Mon Jul 21 18:03:49 GMT 2025","passed","Mon Jul 21 18:03:49 GMT 2025","TestSystemHealth","test_system_health","",""
"Test temperature sensors if available.","106","test_temperature_sensors","openwrt_one","Mon Jul 21 18:03:48 GMT 2025","passed","Mon Jul 21 18:03:48 GMT 2025","TestSystemHealth","test_system_health","",""
"Test system-wide open file descriptors.","85","test_open_file_descriptors","tplink_tl-wdr4300-v1","Mon Jul 21 18:04:46 GMT 2025","passed","Mon Jul 21 18:04:46 GMT 2025","TestSystemHealth","test_system_health","",""
"Test CPU load is within acceptable limits.","362","test_cpu_load","openwrt_one","Mon Jul 21 18:03:47 GMT 2025","passed","Mon Jul 21 18:03:48 GMT 2025","TestSystemHealth","test_system_health","",""
"Test filesystem usage on critical mount points.","519","test_filesystem_usage","tplink_tl-wdr4300-v1","Mon Jul 21 18:04:45 GMT 2025","passed","Mon Jul 21 18:04:45 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_https_download","tests","Mon Jul 21 18:03:56 GMT 2025","skipped","Mon Jul 21 18:03:56 GMT 2025","","test_wan","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Mon Jul 21 18:03:56 GMT 2025","skipped","Mon Jul 21 18:03:56 GMT 2025","","test_wifi","",""
"
Test enabling a wifi network with WPA2 encryption.

This test configures a wifi network with WPA2 encryption and password 'openwrt4all'.
","0","test_wifi_wpa2","tests","Mon Jul 21 18:03:43 GMT 2025","skipped","Mon Jul 21 18:03:43 GMT 2025","","test_wifi","",""
