"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_sysupgrade_backup_u","tests","Sun Jul 13 17:33:16 GMT 2025","skipped","Sun Jul 13 17:33:16 GMT 2025","","test_base","",""
"Test that sufficient entropy is available for cryptographic operations.","85","test_entropy_available","tplink_tl-wdr4300-v1","Sun Jul 13 17:33:48 GMT 2025","passed","Sun Jul 13 17:33:48 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_opkg_procd_installed","tests","Sun Jul 13 17:33:47 GMT 2025","skipped","Sun Jul 13 17:33:47 GMT 2025","","test_opkg","",""
"","0","test_opkg_procd_installed","tests","Sun Jul 13 17:34:11 GMT 2025","skipped","Sun Jul 13 17:34:11 GMT 2025","","test_opkg","",""
"","187","test_lan_interface_address","qemu-x86-64","Sun Jul 13 17:34:10 GMT 2025","passed","Sun Jul 13 17:34:10 GMT 2025","","test_lan","",""
"","0","test_opkg_install_ucert","tests","Sun Jul 13 17:34:18 GMT 2025","skipped","Sun Jul 13 17:34:18 GMT 2025","","test_opkg","",""
"","1009","test_firmware_version","tplink_tl-wdr3600-v1","Sun Jul 13 17:32:45 GMT 2025","passed","Sun Jul 13 17:32:46 GMT 2025","","test_base","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Sun Jul 13 17:33:35 GMT 2025","skipped","Sun Jul 13 17:33:35 GMT 2025","","test_wifi","",""
"","930","test_firmware_version","hpe_msm460","Sun Jul 13 17:39:45 GMT 2025","passed","Sun Jul 13 17:39:46 GMT 2025","","test_base","",""
"","44","test_echo","hpe_msm460","Sun Jul 13 17:40:05 GMT 2025","passed","Sun Jul 13 17:40:05 GMT 2025","","test_base","",""
"","0","test_opkg_procd_installed","tests","Sun Jul 13 17:33:23 GMT 2025","skipped","Sun Jul 13 17:33:23 GMT 2025","","test_opkg","",""
"Test filesystem usage on critical mount points.","373","test_filesystem_usage","genexis_pulse-ex400","Sun Jul 13 17:35:02 GMT 2025","passed","Sun Jul 13 17:35:03 GMT 2025","TestSystemHealth","test_system_health","",""
"","133","test_free_memory","tplink_tl-wdr4300-v1","Sun Jul 13 17:33:42 GMT 2025","passed","Sun Jul 13 17:33:42 GMT 2025","","test_base","",""
"","610","test_shell","genexis_pulse-ex400","Sun Jul 13 17:34:48 GMT 2025","passed","Sun Jul 13 17:34:49 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Sun Jul 13 17:34:11 GMT 2025","skipped","Sun Jul 13 17:34:11 GMT 2025","","test_opkg","",""
"","425","test_kernel_errors","tplink_tl-wdr4300-v1","Sun Jul 13 17:33:42 GMT 2025","passed","Sun Jul 13 17:33:43 GMT 2025","","test_base","",""
"","0","test_sysupgrade_backup_u","tests","Sun Jul 13 17:33:42 GMT 2025","skipped","Sun Jul 13 17:33:42 GMT 2025","","test_base","",""
"Test and record system uptime.","120","test_system_uptime","qemu-x86-64","Sun Jul 13 17:34:12 GMT 2025","passed","Sun Jul 13 17:34:12 GMT 2025","TestSystemHealth","test_system_health","",""
"Test that sufficient entropy is available for cryptographic operations.","107","test_entropy_available","tplink_tl-wr1043nd-v3","Sun Jul 13 17:33:25 GMT 2025","passed","Sun Jul 13 17:33:25 GMT 2025","TestSystemHealth","test_system_health","",""
"","87","test_free_memory","tplink_tl-wdr3600-v1","Sun Jul 13 17:33:16 GMT 2025","passed","Sun Jul 13 17:33:16 GMT 2025","","test_base","",""
"Test system-wide open file descriptors.","60","test_open_file_descriptors","tplink_tl-wdr3600-v1","Sun Jul 13 17:33:18 GMT 2025","passed","Sun Jul 13 17:33:18 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_apk_add_ucert","tests","Sun Jul 13 17:33:50 GMT 2025","skipped","Sun Jul 13 17:33:50 GMT 2025","","test_apk","",""
"","82","test_uname","tplink_tl-wdr3600-v1","Sun Jul 13 17:33:15 GMT 2025","passed","Sun Jul 13 17:33:16 GMT 2025","","test_base","",""
"
Test enabling a wifi network with WPA3 encryption.

This test configures a wifi network with WPA3 encryption and password 'openwrt4all'.
","5714","test_wifi_wpa3","tplink_tl-wdr3600-v1","Sun Jul 13 17:33:18 GMT 2025","passed","Sun Jul 13 17:33:24 GMT 2025","","test_wifi","",""
"","499","test_ssh_supported_algorithms","qemu-x86-64","Sun Jul 13 17:34:10 GMT 2025","passed","Sun Jul 13 17:34:11 GMT 2025","","test_network_security","",""
