"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 27 11:26:15 GMT 2025","Fri Jun 27 11:26:15 GMT 2025","65","qemu-malta-be","test_base","","","","test_echo",""
"passed","Fri Jun 27 11:26:10 GMT 2025","Fri Jun 27 11:26:10 GMT 2025","234","qemu-x86-64","test_base","","","","test_uname",""
"skipped","Fri Jun 27 11:26:15 GMT 2025","Fri Jun 27 11:26:15 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Fri Jun 27 11:26:15 GMT 2025","Fri Jun 27 11:26:15 GMT 2025","178","qemu-x86-64","test_base","","","","test_ssh",""
"passed","Fri Jun 27 11:26:15 GMT 2025","Fri Jun 27 11:26:16 GMT 2025","119","qemu-malta-be","test_base","","","","test_ubus_system_board",""
"skipped","Fri Jun 27 11:25:45 GMT 2025","Fri Jun 27 11:25:45 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Fri Jun 27 11:26:21 GMT 2025","Fri Jun 27 11:26:21 GMT 2025","68","qemu-malta-be","test_lan","","","","test_lan_interface_address",""
"passed","Fri Jun 27 11:26:18 GMT 2025","Fri Jun 27 11:26:18 GMT 2025","143","qemu-x86-64","test_lan","","","","test_lan_interface_address",""
"skipped","Fri Jun 27 11:26:18 GMT 2025","Fri Jun 27 11:26:18 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"skipped","Fri Jun 27 11:26:21 GMT 2025","Fri Jun 27 11:26:21 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Fri Jun 27 11:26:15 GMT 2025","Fri Jun 27 11:26:15 GMT 2025","149","qemu-malta-be","test_base","","","","test_uname",""
"skipped","Fri Jun 27 11:25:48 GMT 2025","Fri Jun 27 11:25:48 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"skipped","Fri Jun 27 11:25:33 GMT 2025","Fri Jun 27 11:25:33 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Fri Jun 27 11:26:21 GMT 2025","Fri Jun 27 11:26:21 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Fri Jun 27 11:26:20 GMT 2025","Fri Jun 27 11:26:21 GMT 2025","1278","qemu-malta-be","test_base","","","","test_kernel_errors",""
"skipped","Fri Jun 27 11:26:21 GMT 2025","Fri Jun 27 11:26:21 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"skipped","Fri Jun 27 11:26:18 GMT 2025","Fri Jun 27 11:26:18 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"skipped","Fri Jun 27 11:26:18 GMT 2025","Fri Jun 27 11:26:18 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Fri Jun 27 11:26:11 GMT 2025","Fri Jun 27 11:26:11 GMT 2025","149","qemu-x86-64","test_base","","","","test_free_memory",""
"passed","Fri Jun 27 11:26:16 GMT 2025","Fri Jun 27 11:26:17 GMT 2025","1532","qemu-malta-be","test_base","","","","test_dropbear_startup",""
"skipped","Fri Jun 27 11:26:15 GMT 2025","Fri Jun 27 11:26:15 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"skipped","Fri Jun 27 11:25:45 GMT 2025","Fri Jun 27 11:25:45 GMT 2025","0","","","","","","test_shell",""
"skipped","Fri Jun 27 11:25:48 GMT 2025","Fri Jun 27 11:25:48 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Fri Jun 27 11:26:18 GMT 2025","Fri Jun 27 11:26:18 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Fri Jun 27 11:25:45 GMT 2025","Fri Jun 27 11:25:45 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Fri Jun 27 11:26:16 GMT 2025","Fri Jun 27 11:26:16 GMT 2025","89","qemu-malta-be","test_base","","","","test_free_memory",""
"passed","Fri Jun 27 11:26:10 GMT 2025","Fri Jun 27 11:26:11 GMT 2025","447","qemu-x86-64","test_base","","","","test_ubus_system_board",""
"passed","Fri Jun 27 11:26:20 GMT 2025","Fri Jun 27 11:26:20 GMT 2025","90","qemu-malta-be","test_base","","","","test_ssh",""
"skipped","Fri Jun 27 11:26:21 GMT 2025","Fri Jun 27 11:26:21 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Fri Jun 27 11:26:10 GMT 2025","Fri Jun 27 11:26:10 GMT 2025","181","qemu-x86-64","test_base","","","","test_echo",""
"skipped","Fri Jun 27 11:25:33 GMT 2025","Fri Jun 27 11:25:33 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"skipped","Fri Jun 27 11:26:20 GMT 2025","Fri Jun 27 11:26:20 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Fri Jun 27 11:26:15 GMT 2025","Fri Jun 27 11:26:15 GMT 2025","40","qemu-malta-be","test_base","","","","test_shell",""
"skipped","Fri Jun 27 11:26:20 GMT 2025","Fri Jun 27 11:26:20 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
