"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 23 16:01:15 GMT 2025","Mon Jun 23 16:01:15 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Mon Jun 23 16:01:15 GMT 2025","Mon Jun 23 16:01:15 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"skipped","Mon Jun 23 16:00:39 GMT 2025","Mon Jun 23 16:00:39 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Mon Jun 23 16:01:10 GMT 2025","Mon Jun 23 16:01:14 GMT 2025","3930","genexis-pulse-ex400","test_base","","","","test_kernel_errors",""
"skipped","Mon Jun 23 16:01:15 GMT 2025","Mon Jun 23 16:01:15 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"skipped","Mon Jun 23 16:01:42 GMT 2025","Mon Jun 23 16:01:42 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Mon Jun 23 16:01:06 GMT 2025","Mon Jun 23 16:01:09 GMT 2025","3824","turris-omnia","test_base","","","","test_echo",""
"skipped","Mon Jun 23 16:01:10 GMT 2025","Mon Jun 23 16:01:10 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Mon Jun 23 16:01:20 GMT 2025","Mon Jun 23 16:01:29 GMT 2025","9731","turris-omnia","test_base","","","","test_dropbear_startup",""
"passed","Mon Jun 23 16:00:32 GMT 2025","Mon Jun 23 16:00:33 GMT 2025","678","openwrt-one","test_base","","","","test_uname",""
"passed","Mon Jun 23 16:00:39 GMT 2025","Mon Jun 23 16:00:43 GMT 2025","3718","openwrt-one","test_base","","","","test_kernel_errors",""
"passed","Mon Jun 23 16:01:39 GMT 2025","Mon Jun 23 16:01:42 GMT 2025","3853","turris-omnia","test_lan","","","","test_lan_interface_address",""
