"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 25 21:59:11 GMT 2025","Wed Jun 25 21:59:18 GMT 2025","6305","qemu-armsr-armv8","test_base","","","","test_kernel_errors",""
"passed","Wed Jun 25 22:05:36 GMT 2025","Wed Jun 25 22:05:39 GMT 2025","3823","turris-omnia","test_base","","","","test_echo",""
"passed","Wed Jun 25 21:59:02 GMT 2025","Wed Jun 25 21:59:02 GMT 2025","474","qemu-armsr-armv8","test_base","","","","test_uname",""
"passed","Wed Jun 25 22:04:49 GMT 2025","Wed Jun 25 22:04:49 GMT 2025","54","hp-msm460","test_base","","","","test_ssh",""
"skipped","Wed Jun 25 21:58:16 GMT 2025","Wed Jun 25 21:58:16 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Wed Jun 25 22:03:25 GMT 2025","Wed Jun 25 22:03:25 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Wed Jun 25 22:10:36 GMT 2025","Wed Jun 25 22:10:36 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Wed Jun 25 22:03:21 GMT 2025","Wed Jun 25 22:03:21 GMT 2025","51","openwrt-one","test_base","","","","test_ssh",""
"passed","Wed Jun 25 22:04:58 GMT 2025","Wed Jun 25 22:04:59 GMT 2025","860","hp-msm460","test_lan","","","","test_lan_interface_address",""
"skipped","Wed Jun 25 21:58:46 GMT 2025","Wed Jun 25 21:58:46 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Wed Jun 25 21:58:46 GMT 2025","Wed Jun 25 21:58:47 GMT 2025","1340","qemu-malta-be","test_base","","","","test_kernel_errors",""
"passed","Wed Jun 25 22:02:57 GMT 2025","Wed Jun 25 22:03:16 GMT 2025","19159","tplink_tl-wdr3600-v1","test_base","","","","test_dropbear_startup",""
"skipped","Wed Jun 25 22:10:41 GMT 2025","Wed Jun 25 22:10:41 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Wed Jun 25 21:58:46 GMT 2025","Wed Jun 25 21:58:46 GMT 2025","144","qemu-x86-64","test_base","","","","test_shell",""
"passed","Wed Jun 25 22:03:33 GMT 2025","Wed Jun 25 22:03:34 GMT 2025","856","tplink_tl-wdr3600-v1","test_lan","","","","test_lan_interface_address",""
"skipped","Wed Jun 25 21:58:54 GMT 2025","Wed Jun 25 21:58:54 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Wed Jun 25 22:03:15 GMT 2025","Wed Jun 25 22:03:16 GMT 2025","987","openwrt-one","test_base","","","","test_ubus_system_board",""
