"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","test_ssh","hpe_msm460","Thu Jul 03 00:31:05 GMT 2025","passed","Thu Jul 03 00:31:05 GMT 2025","","test_base","",""
"","165","test_shell","qemu-x86-64","Thu Jul 03 00:29:15 GMT 2025","passed","Thu Jul 03 00:29:15 GMT 2025","","test_base","",""
"","297","test_kernel_errors","qemu-malta-be","Thu Jul 03 00:28:53 GMT 2025","passed","Thu Jul 03 00:28:53 GMT 2025","","test_base","",""
"","0","test_apk_add_ucert","tests","Thu Jul 03 00:27:10 GMT 2025","skipped","Thu Jul 03 00:27:10 GMT 2025","","test_apk","",""
"","1733","test_dropbear_startup","qemu-x86-64","Thu Jul 03 00:29:16 GMT 2025","passed","Thu Jul 03 00:29:17 GMT 2025","","test_base","",""
"","897","test_lan_interface_address","openwrt_one","Thu Jul 03 00:30:54 GMT 2025","passed","Thu Jul 03 00:30:55 GMT 2025","","test_lan","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Thu Jul 03 00:33:04 GMT 2025","skipped","Thu Jul 03 00:33:04 GMT 2025","","test_wifi","",""
"","163","test_free_memory","qemu-x86-64","Thu Jul 03 00:29:22 GMT 2025","passed","Thu Jul 03 00:29:22 GMT 2025","","test_base","",""
"","67","test_ssh","genexis_pulse-ex400","Thu Jul 03 00:31:08 GMT 2025","passed","Thu Jul 03 00:31:08 GMT 2025","","test_base","",""
"","55","test_ubus_system_board","hpe_msm460","Thu Jul 03 00:31:05 GMT 2025","passed","Thu Jul 03 00:31:06 GMT 2025","","test_base","",""
"","0","test_https_download","tests","Thu Jul 03 00:30:55 GMT 2025","skipped","Thu Jul 03 00:30:55 GMT 2025","","test_wan","",""
"","68","test_ubus_system_board","genexis_pulse-ex400","Thu Jul 03 00:31:09 GMT 2025","passed","Thu Jul 03 00:31:09 GMT 2025","","test_base","",""
"","379","test_firmware_version","qemu-x86-64","Thu Jul 03 00:29:15 GMT 2025","passed","Thu Jul 03 00:29:16 GMT 2025","","test_base","",""
"","91","test_free_memory","tplink_tl-wdr3600-v1","Thu Jul 03 00:33:02 GMT 2025","passed","Thu Jul 03 00:33:02 GMT 2025","","test_base","",""
"","0","test_apk_add_ucert","tests","Thu Jul 03 00:29:49 GMT 2025","skipped","Thu Jul 03 00:29:49 GMT 2025","","test_apk","",""
"","0","test_apk_procd_installed","tests","Thu Jul 03 00:30:13 GMT 2025","skipped","Thu Jul 03 00:30:13 GMT 2025","","test_apk","",""
"","582","test_shell","openwrt_one","Thu Jul 03 00:30:48 GMT 2025","passed","Thu Jul 03 00:30:49 GMT 2025","","test_base","",""
"","51","test_free_memory","openwrt_one","Thu Jul 03 00:30:54 GMT 2025","passed","Thu Jul 03 00:30:54 GMT 2025","","test_base","",""
"","566","test_shell","hpe_msm460","Thu Jul 03 00:30:56 GMT 2025","passed","Thu Jul 03 00:30:56 GMT 2025","","test_base","",""
"","0","test_https_download","tests","Thu Jul 03 00:33:04 GMT 2025","skipped","Thu Jul 03 00:33:04 GMT 2025","","test_wan","",""
"","0","test_opkg_procd_installed","tests","Thu Jul 03 00:29:23 GMT 2025","skipped","Thu Jul 03 00:29:23 GMT 2025","","test_opkg","",""
"","65","test_free_memory","genexis_pulse-ex400","Thu Jul 03 00:31:09 GMT 2025","passed","Thu Jul 03 00:31:09 GMT 2025","","test_base","",""
"","0","test_sysupgrade_backup","tests","Thu Jul 03 00:28:36 GMT 2025","skipped","Thu Jul 03 00:28:36 GMT 2025","","test_base","",""
"","83","test_ssh","tplink_tl-wdr3600-v1","Thu Jul 03 00:33:02 GMT 2025","passed","Thu Jul 03 00:33:02 GMT 2025","","test_base","",""
"","105","test_uname","openwrt_one","Thu Jul 03 00:30:54 GMT 2025","passed","Thu Jul 03 00:30:54 GMT 2025","","test_base","",""
"","70","test_echo","tplink_tl-wdr3600-v1","Thu Jul 03 00:33:02 GMT 2025","passed","Thu Jul 03 00:33:02 GMT 2025","","test_base","",""
"","0","test_sysupgrade_backup_u","tests","Thu Jul 03 00:31:09 GMT 2025","skipped","Thu Jul 03 00:31:09 GMT 2025","","test_base","",""
"","0","test_apk_procd_installed","tests","Thu Jul 03 00:28:37 GMT 2025","skipped","Thu Jul 03 00:28:37 GMT 2025","","test_apk","",""
"","0","test_opkg_procd_installed","tests","Thu Jul 03 00:33:04 GMT 2025","skipped","Thu Jul 03 00:33:04 GMT 2025","","test_opkg","",""
"","53","test_ssh","qemu-malta-be","Thu Jul 03 00:28:52 GMT 2025","passed","Thu Jul 03 00:28:52 GMT 2025","","test_base","",""
"","58","test_ubus_system_board","openwrt_one","Thu Jul 03 00:30:54 GMT 2025","passed","Thu Jul 03 00:30:54 GMT 2025","","test_base","",""
"","0","test_apk_add_ucert","tests","Thu Jul 03 00:31:17 GMT 2025","skipped","Thu Jul 03 00:31:17 GMT 2025","","test_apk","",""
"","0","test_apk_add_ucert","tests","Thu Jul 03 00:27:53 GMT 2025","skipped","Thu Jul 03 00:27:53 GMT 2025","","test_apk","",""
"","0","test_apk_procd_installed","tests","Thu Jul 03 00:31:17 GMT 2025","skipped","Thu Jul 03 00:31:17 GMT 2025","","test_apk","",""
"","0","test_opkg_procd_installed","tests","Thu Jul 03 00:30:55 GMT 2025","skipped","Thu Jul 03 00:30:55 GMT 2025","","test_opkg","",""
