"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_https_download","tests","Thu Jul 17 12:23:56 GMT 2025","skipped","Thu Jul 17 12:23:56 GMT 2025","","test_wan","",""
"Test filesystem usage on critical mount points.","437","test_filesystem_usage","tplink_tl-wr1043nd-v3","Thu Jul 17 12:26:16 GMT 2025","passed","Thu Jul 17 12:26:16 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_apk_add_ucert","tests","Thu Jul 17 13:15:17 GMT 2025","skipped","Thu Jul 17 13:15:17 GMT 2025","TestApk","test_apk","",""
"","185","test_ssh_supported_algorithms","openwrt_one","Thu Jul 17 13:15:22 GMT 2025","passed","Thu Jul 17 13:15:23 GMT 2025","","test_network_security","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Thu Jul 17 12:24:26 GMT 2025","skipped","Thu Jul 17 12:24:26 GMT 2025","","test_wifi","",""
"","175","test_dropbear_startup","qemu-malta-be","Thu Jul 17 12:24:50 GMT 2025","passed","Thu Jul 17 12:24:50 GMT 2025","","test_base","",""
"Test that sufficient entropy is available for cryptographic operations.","49","test_entropy_available","qemu-x86-64","Thu Jul 17 12:23:56 GMT 2025","passed","Thu Jul 17 12:23:56 GMT 2025","TestSystemHealth","test_system_health","",""
"Test filesystem usage on critical mount points.","403","test_filesystem_usage","qemu-armsr-armv8","Thu Jul 17 12:24:25 GMT 2025","passed","Thu Jul 17 12:24:25 GMT 2025","TestSystemHealth","test_system_health","",""
"Test temperature sensors if available.","61","test_temperature_sensors","tplink_tl-wdr3600-v1","Thu Jul 17 12:24:01 GMT 2025","passed","Thu Jul 17 12:24:01 GMT 2025","TestSystemHealth","test_system_health","",""
"Test that sufficient entropy is available for cryptographic operations.","46","test_entropy_available","hpe_msm460","Thu Jul 17 12:23:33 GMT 2025","passed","Thu Jul 17 12:23:33 GMT 2025","TestSystemHealth","test_system_health","",""
"","1904","test_dropbear_startup","tplink_tl-wdr3600-v1","Thu Jul 17 12:23:57 GMT 2025","passed","Thu Jul 17 12:23:59 GMT 2025","","test_base","",""
"","25292","test_apk_add_ucert","qemu-armsr-armv8","Thu Jul 17 12:23:57 GMT 2025","passed","Thu Jul 17 12:24:23 GMT 2025","TestApk","test_apk","",""
"Test that sufficient entropy is available for cryptographic operations.","63","test_entropy_available","genexis_pulse-ex400","Thu Jul 17 12:23:58 GMT 2025","passed","Thu Jul 17 12:23:58 GMT 2025","TestSystemHealth","test_system_health","",""
"","68","test_firmware_version","qemu-armsr-armv8","Thu Jul 17 12:24:23 GMT 2025","passed","Thu Jul 17 12:24:23 GMT 2025","","test_base","",""
"Test number of running processes is reasonable.","45","test_process_count","qemu-malta-be","Thu Jul 17 12:24:51 GMT 2025","passed","Thu Jul 17 12:24:51 GMT 2025","TestSystemHealth","test_system_health","",""
"","181","test_ssh_supported_algorithms","hpe_msm460","Thu Jul 17 12:23:32 GMT 2025","passed","Thu Jul 17 12:23:32 GMT 2025","","test_network_security","",""
"","59","test_uname","qemu-armsr-armv8","Thu Jul 17 12:24:24 GMT 2025","passed","Thu Jul 17 12:24:24 GMT 2025","","test_base","",""
"","55","test_ubus_system_board","qemu-x86-64","Thu Jul 17 12:23:55 GMT 2025","passed","Thu Jul 17 12:23:55 GMT 2025","","test_base","",""
"","26","test_echo","qemu-x86-64","Thu Jul 17 12:23:55 GMT 2025","passed","Thu Jul 17 12:23:55 GMT 2025","","test_base","",""
"Test temperature sensors if available.","46","test_temperature_sensors","hpe_msm460","Thu Jul 17 12:23:33 GMT 2025","passed","Thu Jul 17 12:23:33 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_opkg_procd_installed","tests","Thu Jul 17 12:24:00 GMT 2025","skipped","Thu Jul 17 12:24:00 GMT 2025","","test_opkg","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Thu Jul 17 12:23:42 GMT 2025","skipped","Thu Jul 17 12:23:42 GMT 2025","","test_wifi","",""
"","65","test_ubus_system_board","tplink_tl-wdr3600-v1","Thu Jul 17 12:23:59 GMT 2025","passed","Thu Jul 17 12:23:59 GMT 2025","","test_base","",""
