"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","test_echo","openwrt_one","Sun Jul 06 00:34:33 GMT 2025","passed","Sun Jul 06 00:34:33 GMT 2025","","test_base","",""
"","0","test_apk_add_ucert","tests","Sun Jul 06 00:31:13 GMT 2025","skipped","Sun Jul 06 00:31:13 GMT 2025","","test_apk","",""
"","217","test_uname","qemu-x86-64","Sun Jul 06 00:32:00 GMT 2025","passed","Sun Jul 06 00:32:00 GMT 2025","","test_base","",""
"","0","test_apk_add_ucert","tests","Sun Jul 06 00:30:10 GMT 2025","skipped","Sun Jul 06 00:30:10 GMT 2025","","test_apk","",""
"","974","test_firmware_version","genexis_pulse-ex400","Sun Jul 06 00:33:43 GMT 2025","passed","Sun Jul 06 00:33:44 GMT 2025","","test_base","",""
"","56","test_ssh","cznic_turris-omnia","Sun Jul 06 00:35:13 GMT 2025","passed","Sun Jul 06 00:35:13 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Sun Jul 06 00:33:23 GMT 2025","skipped","Sun Jul 06 00:33:23 GMT 2025","","test_opkg","",""
"","102","test_ssh","genexis_pulse-ex400","Sun Jul 06 00:34:16 GMT 2025","passed","Sun Jul 06 00:34:16 GMT 2025","","test_base","",""
"","456","test_ubus_system_board","qemu-armsr-armv8","Sun Jul 06 00:31:34 GMT 2025","passed","Sun Jul 06 00:31:35 GMT 2025","","test_base","",""
"","94","test_uname","tplink_tl-wr1043nd-v3","Sun Jul 06 00:31:32 GMT 2025","passed","Sun Jul 06 00:31:32 GMT 2025","","test_base","",""
"","193","test_ssh_supported_algorithms","hpe_msm460","Sun Jul 06 00:33:23 GMT 2025","passed","Sun Jul 06 00:33:23 GMT 2025","","test_network_security","",""
"","0","test_sysupgrade_backup_u","tests","Sun Jul 06 00:31:32 GMT 2025","skipped","Sun Jul 06 00:31:32 GMT 2025","","test_base","",""
"","0","test_apk_procd_installed","tests","Sun Jul 06 00:30:39 GMT 2025","skipped","Sun Jul 06 00:30:39 GMT 2025","","test_apk","",""
"","188","test_ssh_supported_algorithms","cznic_turris-omnia","Sun Jul 06 00:35:17 GMT 2025","passed","Sun Jul 06 00:35:18 GMT 2025","","test_network_security","",""
"","112","test_ssh","tplink_tl-wdr4300-v1","Sun Jul 06 00:31:44 GMT 2025","passed","Sun Jul 06 00:31:44 GMT 2025","","test_base","",""
"","609","test_shell","tplink_tl-wdr3600-v1","Sun Jul 06 00:30:51 GMT 2025","passed","Sun Jul 06 00:30:52 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Sun Jul 06 00:32:02 GMT 2025","skipped","Sun Jul 06 00:32:02 GMT 2025","","test_opkg","",""
"","852","test_lan_interface_address","tplink_tl-wdr3600-v1","Sun Jul 06 00:31:32 GMT 2025","passed","Sun Jul 06 00:31:33 GMT 2025","","test_lan","",""
"","73","test_echo","tplink_tl-wr1043nd-v3","Sun Jul 06 00:31:32 GMT 2025","passed","Sun Jul 06 00:31:32 GMT 2025","","test_base","",""
"","137","test_echo","qemu-x86-64","Sun Jul 06 00:32:00 GMT 2025","passed","Sun Jul 06 00:32:00 GMT 2025","","test_base","",""
"","568","test_shell","openwrt_one","Sun Jul 06 00:34:28 GMT 2025","passed","Sun Jul 06 00:34:29 GMT 2025","","test_base","",""
"","110","test_ssh","tplink_tl-wr1043nd-v3","Sun Jul 06 00:31:32 GMT 2025","passed","Sun Jul 06 00:31:32 GMT 2025","","test_base","",""
"","0","test_https_download","tests","Sun Jul 06 00:34:34 GMT 2025","skipped","Sun Jul 06 00:34:34 GMT 2025","","test_wan","",""
"","2634","test_shell","tplink_tl-wdr4300-v1","Sun Jul 06 00:31:15 GMT 2025","passed","Sun Jul 06 00:31:17 GMT 2025","","test_base","",""
"","119","test_kernel_errors","cznic_turris-omnia","Sun Jul 06 00:35:13 GMT 2025","passed","Sun Jul 06 00:35:14 GMT 2025","","test_base","",""
"","0","test_https_download","tests","Sun Jul 06 00:33:23 GMT 2025","skipped","Sun Jul 06 00:33:23 GMT 2025","","test_wan","",""
"","0","test_opkg_install_ucert","tests","Sun Jul 06 00:31:36 GMT 2025","skipped","Sun Jul 06 00:31:36 GMT 2025","","test_opkg","",""
