"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","test_apk_procd_installed","glinet_gl-mt6000","Tue Jul 22 21:21:17 GMT 2025","passed","Tue Jul 22 21:21:17 GMT 2025","TestApk","test_apk","",""
"Check for zombie processes.","87","test_zombie_processes","genexis_pulse-ex400","Tue Jul 22 21:21:41 GMT 2025","passed","Tue Jul 22 21:21:41 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test wifi scanning functionality.

This test performs a wifi scan and verifies that at least one network is found.
","0","test_wifi_scan","tests","Tue Jul 22 21:17:50 GMT 2025","skipped","Tue Jul 22 21:17:50 GMT 2025","","test_wifi","",""
"Test and record system uptime.","48","test_system_uptime","glinet_gl-mt6000","Tue Jul 22 21:21:37 GMT 2025","passed","Tue Jul 22 21:21:38 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_opkg_procd_installed","tests","Tue Jul 22 21:21:40 GMT 2025","skipped","Tue Jul 22 21:21:40 GMT 2025","","test_opkg","",""
"","4442","test_firmware_version","tplink_tl-wr1043nd-v3","Tue Jul 22 21:22:06 GMT 2025","passed","Tue Jul 22 21:22:11 GMT 2025","","test_base","",""
"","145","test_apk_audit","qemu-malta-be","Tue Jul 22 21:16:49 GMT 2025","passed","Tue Jul 22 21:16:49 GMT 2025","TestApk","test_apk","",""
"","478","test_apk_audit","tplink_tl-wr1043nd-v3","Tue Jul 22 21:22:03 GMT 2025","passed","Tue Jul 22 21:22:03 GMT 2025","TestApk","test_apk","",""
"Test filesystem usage on critical mount points.","441","test_filesystem_usage","tplink_tl-wr1043nd-v3","Tue Jul 22 21:22:24 GMT 2025","passed","Tue Jul 22 21:22:24 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_apk_add_ucert","tests","Tue Jul 22 21:20:00 GMT 2025","skipped","Tue Jul 22 21:20:00 GMT 2025","TestApk","test_apk","",""
"
Test enabling a wifi network with WPA2 encryption.

This test configures a wifi network with WPA2 encryption and password 'openwrt4all'.
","4570","test_wifi_wpa2","openwrt_one","Tue Jul 22 21:19:58 GMT 2025","passed","Tue Jul 22 21:20:03 GMT 2025","","test_wifi","",""
"Test that sufficient entropy is available for cryptographic operations.","52","test_entropy_available","openwrt_one","Tue Jul 22 21:19:53 GMT 2025","passed","Tue Jul 22 21:19:53 GMT 2025","TestSystemHealth","test_system_health","",""
"Test temperature sensors if available.","60","test_temperature_sensors","tplink_tl-wdr3600-v1","Tue Jul 22 21:23:20 GMT 2025","passed","Tue Jul 22 21:23:20 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test enabling a wifi network with WPA3 encryption.

This test configures a wifi network with WPA3 encryption and password 'openwrt4all'.
","4775","test_wifi_wpa3","glinet_gl-mt6000","Tue Jul 22 21:21:38 GMT 2025","passed","Tue Jul 22 21:21:43 GMT 2025","","test_wifi","",""
"","54","test_ssh","glinet_gl-mt6000","Tue Jul 22 21:21:32 GMT 2025","passed","Tue Jul 22 21:21:32 GMT 2025","","test_base","",""
"","365","test_ssh_supported_algorithms","qemu-malta-be","Tue Jul 22 21:16:49 GMT 2025","passed","Tue Jul 22 21:16:50 GMT 2025","","test_network_security","",""
"","24","test_shell","qemu-malta-be","Tue Jul 22 21:16:49 GMT 2025","passed","Tue Jul 22 21:16:49 GMT 2025","","test_base","",""
"Test filesystem usage on critical mount points.","265","test_filesystem_usage","qemu-malta-be","Tue Jul 22 21:16:50 GMT 2025","passed","Tue Jul 22 21:16:50 GMT 2025","TestSystemHealth","test_system_health","",""
"","66","test_firmware_version","qemu-x86-64","Tue Jul 22 21:17:56 GMT 2025","passed","Tue Jul 22 21:17:56 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Tue Jul 22 21:21:40 GMT 2025","skipped","Tue Jul 22 21:21:40 GMT 2025","","test_opkg","",""
"Test memory usage and check for memory leaks.","86","test_memory_usage","tplink_tl-wdr4300-v1","Tue Jul 22 21:19:38 GMT 2025","passed","Tue Jul 22 21:19:38 GMT 2025","TestSystemHealth","test_system_health","",""
"","1","test_kernel_log","qemu-malta-be","Tue Jul 22 21:16:49 GMT 2025","passed","Tue Jul 22 21:16:49 GMT 2025","","test_base","",""
"","0","test_https_download","tests","Tue Jul 22 21:16:50 GMT 2025","skipped","Tue Jul 22 21:16:50 GMT 2025","","test_wan","",""
"Test and record system uptime.","51","test_system_uptime","openwrt_one","Tue Jul 22 21:19:53 GMT 2025","passed","Tue Jul 22 21:19:53 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_apk_add_ucert","tests","Tue Jul 22 21:21:15 GMT 2025","skipped","Tue Jul 22 21:21:15 GMT 2025","TestApk","test_apk","",""
"
Test enabling a wifi network with WPA3 encryption.

This test configures a wifi network with WPA3 encryption and password 'openwrt4all'.
","0","test_wifi_wpa3","tests","Tue Jul 22 21:16:50 GMT 2025","skipped","Tue Jul 22 21:16:50 GMT 2025","","test_wifi","",""
