"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_opkg_procd_installed","tests","Mon Jul 21 15:50:25 GMT 2025","skipped","Mon Jul 21 15:50:25 GMT 2025","","test_opkg","",""
"","232","test_ssh_supported_algorithms","genexis_pulse-ex400","Mon Jul 21 15:52:44 GMT 2025","passed","Mon Jul 21 15:52:44 GMT 2025","","test_network_security","",""
"","210","test_kernel_errors","tplink_tl-wdr4300-v1","Mon Jul 21 15:51:15 GMT 2025","passed","Mon Jul 21 15:51:15 GMT 2025","","test_base","",""
"","0","test_sysupgrade_backup_u","tests","Mon Jul 21 15:51:47 GMT 2025","skipped","Mon Jul 21 15:51:47 GMT 2025","","test_base","",""
"","85","test_apk_procd_installed","hpe_msm460","Mon Jul 21 15:50:20 GMT 2025","passed","Mon Jul 21 15:50:20 GMT 2025","TestApk","test_apk","",""
"Test system-wide open file descriptors.","44","test_open_file_descriptors","hpe_msm460","Mon Jul 21 15:50:26 GMT 2025","passed","Mon Jul 21 15:50:26 GMT 2025","TestSystemHealth","test_system_health","",""
"Test number of running processes is reasonable.","64","test_process_count","hpe_msm460","Mon Jul 21 15:50:26 GMT 2025","passed","Mon Jul 21 15:50:26 GMT 2025","TestSystemHealth","test_system_health","",""
"Test CPU load is within acceptable limits.","69","test_cpu_load","tplink_tl-wdr3600-v1","Mon Jul 21 15:52:00 GMT 2025","passed","Mon Jul 21 15:52:00 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_https_download","tests","Mon Jul 21 15:52:00 GMT 2025","skipped","Mon Jul 21 15:52:00 GMT 2025","","test_wan","",""
"","0","test_https_download","tests","Mon Jul 21 15:50:40 GMT 2025","skipped","Mon Jul 21 15:50:40 GMT 2025","","test_wan","",""
"Test memory usage and check for memory leaks.","66","test_memory_usage","bananapi_bpi-r4","Mon Jul 21 15:51:58 GMT 2025","passed","Mon Jul 21 15:51:58 GMT 2025","TestSystemHealth","test_system_health","",""
"Test temperature sensors if available.","25","test_temperature_sensors","bananapi_bpi-r64","Mon Jul 21 15:50:16 GMT 2025","passed","Mon Jul 21 15:50:16 GMT 2025","TestSystemHealth","test_system_health","",""
"Check kernel ring buffer for critical errors.","582","test_kernel_ring_buffer","bananapi_bpi-r4","Mon Jul 21 15:51:59 GMT 2025","passed","Mon Jul 21 15:52:00 GMT 2025","TestSystemHealth","test_system_health","",""
"","87","test_free_memory","tplink_tl-wdr4300-v1","Mon Jul 21 15:51:15 GMT 2025","passed","Mon Jul 21 15:51:15 GMT 2025","","test_base","",""
"","275","test_kernel_errors","bananapi_bpi-r4","Mon Jul 21 15:51:57 GMT 2025","passed","Mon Jul 21 15:51:57 GMT 2025","","test_base","",""
"","145","test_apk_audit","qemu-x86-64","Mon Jul 21 15:51:46 GMT 2025","passed","Mon Jul 21 15:51:46 GMT 2025","TestApk","test_apk","",""
"","66","test_lan_interface_address","qemu-x86-64","Mon Jul 21 15:51:47 GMT 2025","passed","Mon Jul 21 15:51:47 GMT 2025","","test_lan","",""
"Test that sufficient entropy is available for cryptographic operations.","45","test_entropy_available","hpe_msm460","Mon Jul 21 15:50:26 GMT 2025","passed","Mon Jul 21 15:50:26 GMT 2025","TestSystemHealth","test_system_health","",""
"","118","test_free_memory","tplink_tl-wdr3600-v1","Mon Jul 21 15:51:58 GMT 2025","passed","Mon Jul 21 15:51:59 GMT 2025","","test_base","",""
"Check kernel ring buffer for critical errors.","138","test_kernel_ring_buffer","qemu-malta-be","Mon Jul 21 15:50:39 GMT 2025","passed","Mon Jul 21 15:50:39 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Mon Jul 21 15:52:00 GMT 2025","skipped","Mon Jul 21 15:52:00 GMT 2025","","test_wifi","",""
"","0","test_opkg_install_ucert","tests","Mon Jul 21 15:51:58 GMT 2025","skipped","Mon Jul 21 15:51:58 GMT 2025","","test_opkg","",""
"Test number of running processes is reasonable.","55","test_process_count","bananapi_bpi-r4","Mon Jul 21 15:52:00 GMT 2025","passed","Mon Jul 21 15:52:00 GMT 2025","TestSystemHealth","test_system_health","",""
"Check for zombie processes.","167","test_zombie_processes","openwrt_one","Mon Jul 21 15:50:34 GMT 2025","passed","Mon Jul 21 15:50:34 GMT 2025","TestSystemHealth","test_system_health","",""
"","847","test_lan_interface_address","hpe_msm460","Mon Jul 21 15:50:24 GMT 2025","passed","Mon Jul 21 15:50:25 GMT 2025","","test_lan","",""
"","0","test_apk_add_ucert","tests","Mon Jul 21 15:51:54 GMT 2025","skipped","Mon Jul 21 15:51:54 GMT 2025","TestApk","test_apk","",""
"Test CPU load is within acceptable limits.","50","test_cpu_load","qemu-malta-be","Mon Jul 21 15:50:39 GMT 2025","passed","Mon Jul 21 15:50:39 GMT 2025","TestSystemHealth","test_system_health","",""
"","63","test_free_memory","qemu-malta-be","Mon Jul 21 15:50:38 GMT 2025","passed","Mon Jul 21 15:50:38 GMT 2025","","test_base","",""
"","0","test_opkg_procd_installed","tests","Mon Jul 21 15:51:19 GMT 2025","skipped","Mon Jul 21 15:51:19 GMT 2025","","test_opkg","",""
"","210","test_kernel_errors","qemu-x86-64","Mon Jul 21 15:51:47 GMT 2025","passed","Mon Jul 21 15:51:47 GMT 2025","","test_base","",""
"","44","test_echo","hpe_msm460","Mon Jul 21 15:50:24 GMT 2025","passed","Mon Jul 21 15:50:24 GMT 2025","","test_base","",""
"Test temperature sensors if available.","47","test_temperature_sensors","qemu-malta-be","Mon Jul 21 15:50:39 GMT 2025","passed","Mon Jul 21 15:50:39 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_sysupgrade_backup_u","tests","Mon Jul 21 15:50:15 GMT 2025","skipped","Mon Jul 21 15:50:15 GMT 2025","","test_base","",""
"","43","test_ssh","hpe_msm460","Mon Jul 21 15:50:23 GMT 2025","passed","Mon Jul 21 15:50:24 GMT 2025","","test_base","",""
"Test and record system uptime.","35","test_system_uptime","qemu-x86-64","Mon Jul 21 15:51:47 GMT 2025","passed","Mon Jul 21 15:51:47 GMT 2025","TestSystemHealth","test_system_health","",""
"","89","test_uname","tplink_tl-wdr4300-v1","Mon Jul 21 15:51:14 GMT 2025","passed","Mon Jul 21 15:51:14 GMT 2025","","test_base","",""
"","360","test_kernel_errors","tplink_tl-wdr3600-v1","Mon Jul 21 15:51:59 GMT 2025","passed","Mon Jul 21 15:51:59 GMT 2025","","test_base","",""
"Test temperature sensors if available.","36","test_temperature_sensors","qemu-x86-64","Mon Jul 21 15:51:47 GMT 2025","passed","Mon Jul 21 15:51:47 GMT 2025","TestSystemHealth","test_system_health","",""
"","47","test_lan_interface_address","qemu-malta-be","Mon Jul 21 15:50:38 GMT 2025","passed","Mon Jul 21 15:50:38 GMT 2025","","test_lan","",""
"
Test enabling a wifi network with WPA2 encryption.

This test configures a wifi network with WPA2 encryption and password 'openwrt4all'.
","0","test_wifi_wpa2","tests","Mon Jul 21 15:52:00 GMT 2025","skipped","Mon Jul 21 15:52:00 GMT 2025","","test_wifi","",""
"","115","test_uname","tplink_tl-wdr3600-v1","Mon Jul 21 15:51:58 GMT 2025","passed","Mon Jul 21 15:51:58 GMT 2025","","test_base","",""
"","1004","test_firmware_version","tplink_tl-wdr3600-v1","Mon Jul 21 15:51:55 GMT 2025","passed","Mon Jul 21 15:51:56 GMT 2025","","test_base","",""
"
Test enabling a wifi network with WPA3 encryption.

This test configures a wifi network with WPA3 encryption and password 'openwrt4all'.
","4740","test_wifi_wpa3","genexis_pulse-ex400","Mon Jul 21 15:52:45 GMT 2025","passed","Mon Jul 21 15:52:50 GMT 2025","","test_wifi","",""
"","0","test_opkg_install_ucert","tests","Mon Jul 21 15:52:44 GMT 2025","skipped","Mon Jul 21 15:52:44 GMT 2025","","test_opkg","",""
"Test memory usage and check for memory leaks.","77","test_memory_usage","genexis_pulse-ex400","Mon Jul 21 15:52:44 GMT 2025","passed","Mon Jul 21 15:52:44 GMT 2025","TestSystemHealth","test_system_health","",""
"","16","test_ubus_system_board","bananapi_bpi-r64","Mon Jul 21 15:50:15 GMT 2025","passed","Mon Jul 21 15:50:15 GMT 2025","","test_base","",""
"Test memory usage and check for memory leaks.","46","test_memory_usage","hpe_msm460","Mon Jul 21 15:50:25 GMT 2025","passed","Mon Jul 21 15:50:25 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test enabling a wifi network with WPA2 encryption.

This test configures a wifi network with WPA2 encryption and password 'openwrt4all'.
","5274","test_wifi_wpa2","tplink_tl-wdr3600-v1","Mon Jul 21 15:52:07 GMT 2025","passed","Mon Jul 21 15:52:13 GMT 2025","","test_wifi","",""
"Check kernel ring buffer for critical errors.","147","test_kernel_ring_buffer","openwrt_one","Mon Jul 21 15:50:33 GMT 2025","passed","Mon Jul 21 15:50:34 GMT 2025","TestSystemHealth","test_system_health","",""
"","51","test_ubus_system_board","hpe_msm460","Mon Jul 21 15:50:24 GMT 2025","passed","Mon Jul 21 15:50:24 GMT 2025","","test_base","",""
"","0","test_opkg_procd_installed","tests","Mon Jul 21 15:51:47 GMT 2025","skipped","Mon Jul 21 15:51:47 GMT 2025","","test_opkg","",""
"Test number of running processes is reasonable.","70","test_process_count","qemu-x86-64","Mon Jul 21 15:51:48 GMT 2025","passed","Mon Jul 21 15:51:48 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test enabling a wifi network with WPA2 encryption.

This test configures a wifi network with WPA2 encryption and password 'openwrt4all'.
","0","test_wifi_wpa2","tests","Mon Jul 21 15:50:40 GMT 2025","skipped","Mon Jul 21 15:50:40 GMT 2025","","test_wifi","",""
"Test CPU load is within acceptable limits.","496","test_cpu_load","genexis_pulse-ex400","Mon Jul 21 15:52:44 GMT 2025","passed","Mon Jul 21 15:52:44 GMT 2025","TestSystemHealth","test_system_health","",""
"","41","test_apk_procd_installed","bananapi_bpi-r64","Mon Jul 21 15:50:11 GMT 2025","passed","Mon Jul 21 15:50:11 GMT 2025","TestApk","test_apk","",""
"Test system-wide open file descriptors.","14","test_open_file_descriptors","bananapi_bpi-r64","Mon Jul 21 15:50:16 GMT 2025","passed","Mon Jul 21 15:50:16 GMT 2025","TestSystemHealth","test_system_health","",""
"Test memory usage and check for memory leaks.","85","test_memory_usage","tplink_tl-wdr4300-v1","Mon Jul 21 15:51:19 GMT 2025","passed","Mon Jul 21 15:51:19 GMT 2025","TestSystemHealth","test_system_health","",""
"Test that sufficient entropy is available for cryptographic operations.","56","test_entropy_available","genexis_pulse-ex400","Mon Jul 21 15:52:45 GMT 2025","passed","Mon Jul 21 15:52:45 GMT 2025","TestSystemHealth","test_system_health","",""
"Test filesystem usage on critical mount points.","275","test_filesystem_usage","hpe_msm460","Mon Jul 21 15:50:25 GMT 2025","passed","Mon Jul 21 15:50:25 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_opkg_procd_installed","tests","Mon Jul 21 15:52:00 GMT 2025","skipped","Mon Jul 21 15:52:00 GMT 2025","","test_opkg","",""
"","0","test_opkg_procd_installed","tests","Mon Jul 21 15:50:16 GMT 2025","skipped","Mon Jul 21 15:50:16 GMT 2025","","test_opkg","",""
"","966","test_firmware_version","hpe_msm460","Mon Jul 21 15:50:21 GMT 2025","passed","Mon Jul 21 15:50:22 GMT 2025","","test_base","",""
"","80","test_ssh","tplink_tl-wdr4300-v1","Mon Jul 21 15:51:14 GMT 2025","passed","Mon Jul 21 15:51:14 GMT 2025","","test_base","",""
"
Test wifi scanning functionality.

This test performs a wifi scan and verifies that at least one network is found.
","0","test_wifi_scan","tests","Mon Jul 21 15:51:48 GMT 2025","skipped","Mon Jul 21 15:51:48 GMT 2025","","test_wifi","",""
"","56","test_ubus_system_board","openwrt_one","Mon Jul 21 15:50:32 GMT 2025","passed","Mon Jul 21 15:50:32 GMT 2025","","test_base","",""
"","940","test_firmware_version","openwrt_one","Mon Jul 21 15:50:28 GMT 2025","passed","Mon Jul 21 15:50:29 GMT 2025","","test_base","",""
"
Test enabling a wifi network with WPA3 encryption.

This test configures a wifi network with WPA3 encryption and password 'openwrt4all'.
","0","test_wifi_wpa3","tests","Mon Jul 21 15:52:00 GMT 2025","skipped","Mon Jul 21 15:52:00 GMT 2025","","test_wifi","",""
"Test that sufficient entropy is available for cryptographic operations.","51","test_entropy_available","openwrt_one","Mon Jul 21 15:50:34 GMT 2025","passed","Mon Jul 21 15:50:34 GMT 2025","TestSystemHealth","test_system_health","",""
"Check for zombie processes.","64","test_zombie_processes","hpe_msm460","Mon Jul 21 15:50:26 GMT 2025","passed","Mon Jul 21 15:50:26 GMT 2025","TestSystemHealth","test_system_health","",""
"","17","test_echo","bananapi_bpi-r64","Mon Jul 21 15:50:15 GMT 2025","passed","Mon Jul 21 15:50:15 GMT 2025","","test_base","",""
"Test system-wide open file descriptors.","51","test_open_file_descriptors","openwrt_one","Mon Jul 21 15:50:34 GMT 2025","passed","Mon Jul 21 15:50:34 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test wifi scanning functionality.

This test performs a wifi scan and verifies that at least one network is found.
","0","test_wifi_scan","tests","Mon Jul 21 15:50:40 GMT 2025","skipped","Mon Jul 21 15:50:40 GMT 2025","","test_wifi","",""
"","0","test_apk_add_ucert","tests","Mon Jul 21 15:50:28 GMT 2025","skipped","Mon Jul 21 15:50:28 GMT 2025","TestApk","test_apk","",""
"","869","test_lan_interface_address","bananapi_bpi-r4","Mon Jul 21 15:51:57 GMT 2025","passed","Mon Jul 21 15:51:58 GMT 2025","","test_lan","",""
"","233","test_apk_audit","qemu-malta-be","Mon Jul 21 15:50:37 GMT 2025","passed","Mon Jul 21 15:50:38 GMT 2025","TestApk","test_apk","",""
"","95","test_ubus_system_board","tplink_tl-wdr4300-v1","Mon Jul 21 15:51:14 GMT 2025","passed","Mon Jul 21 15:51:15 GMT 2025","","test_base","",""
"Check for zombie processes.","114","test_zombie_processes","qemu-malta-be","Mon Jul 21 15:50:39 GMT 2025","failed","Mon Jul 21 15:50:40 GMT 2025","TestSystemHealth","test_system_health","",""
"","298","test_ssh_supported_algorithms","qemu-malta-be","Mon Jul 21 15:50:38 GMT 2025","passed","Mon Jul 21 15:50:39 GMT 2025","","test_network_security","",""
"","1917","test_dropbear_startup","genexis_pulse-ex400","Mon Jul 21 15:52:40 GMT 2025","passed","Mon Jul 21 15:52:42 GMT 2025","","test_base","",""
"Test that sufficient entropy is available for cryptographic operations.","100","test_entropy_available","tplink_tl-wdr3600-v1","Mon Jul 21 15:52:02 GMT 2025","passed","Mon Jul 21 15:52:02 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_sysupgrade_backup","tests","Mon Jul 21 15:51:57 GMT 2025","skipped","Mon Jul 21 15:51:57 GMT 2025","","test_base","",""
"Test memory usage and check for memory leaks.","38","test_memory_usage","qemu-x86-64","Mon Jul 21 15:51:47 GMT 2025","passed","Mon Jul 21 15:51:47 GMT 2025","TestSystemHealth","test_system_health","",""
"Test that sufficient entropy is available for cryptographic operations.","37","test_entropy_available","qemu-x86-64","Mon Jul 21 15:51:48 GMT 2025","passed","Mon Jul 21 15:51:48 GMT 2025","TestSystemHealth","test_system_health","",""
"Test system-wide open file descriptors.","84","test_open_file_descriptors","tplink_tl-wdr4300-v1","Mon Jul 21 15:51:20 GMT 2025","passed","Mon Jul 21 15:51:20 GMT 2025","TestSystemHealth","test_system_health","",""
"Check for zombie processes.","60","test_zombie_processes","bananapi_bpi-r4","Mon Jul 21 15:52:00 GMT 2025","passed","Mon Jul 21 15:52:00 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Mon Jul 21 15:50:34 GMT 2025","skipped","Mon Jul 21 15:50:34 GMT 2025","","test_wifi","",""
"","0","test_apk_add_ucert","tests","Mon Jul 21 15:52:38 GMT 2025","skipped","Mon Jul 21 15:52:38 GMT 2025","TestApk","test_apk","",""
"Check kernel ring buffer for critical errors.","129","test_kernel_ring_buffer","tplink_tl-wdr3600-v1","Mon Jul 21 15:52:01 GMT 2025","passed","Mon Jul 21 15:52:01 GMT 2025","TestSystemHealth","test_system_health","",""
"Test filesystem usage on critical mount points.","298","test_filesystem_usage","qemu-malta-be","Mon Jul 21 15:50:39 GMT 2025","passed","Mon Jul 21 15:50:39 GMT 2025","TestSystemHealth","test_system_health","",""
"","67","test_ubus_system_board","genexis_pulse-ex400","Mon Jul 21 15:52:42 GMT 2025","passed","Mon Jul 21 15:52:42 GMT 2025","","test_base","",""
"","1235","test_apk_procd_installed","qemu-x86-64","Mon Jul 21 15:51:32 GMT 2025","passed","Mon Jul 21 15:51:33 GMT 2025","TestApk","test_apk","",""
"","55","test_echo","openwrt_one","Mon Jul 21 15:50:31 GMT 2025","passed","Mon Jul 21 15:50:31 GMT 2025","","test_base","",""
"
Test enabling a wifi network with WPA2 encryption.

This test configures a wifi network with WPA2 encryption and password 'openwrt4all'.
","4541","test_wifi_wpa2","hpe_msm460","Mon Jul 21 15:50:30 GMT 2025","passed","Mon Jul 21 15:50:35 GMT 2025","","test_wifi","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Mon Jul 21 15:50:35 GMT 2025","skipped","Mon Jul 21 15:50:35 GMT 2025","","test_wifi","",""
