"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 23 15:36:57 GMT 2025","Mon Jun 23 15:36:57 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Mon Jun 23 15:36:17 GMT 2025","Mon Jun 23 15:36:17 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Mon Jun 23 15:35:17 GMT 2025","Mon Jun 23 15:35:21 GMT 2025","3471","openwrt-one","test_base","","","","test_kernel_errors",""
"passed","Mon Jun 23 15:36:43 GMT 2025","Mon Jun 23 15:36:44 GMT 2025","953","genexis-pulse-ex400","test_base","","","","test_ubus_system_board",""
"skipped","Mon Jun 23 15:35:22 GMT 2025","Mon Jun 23 15:35:22 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Mon Jun 23 15:36:17 GMT 2025","Mon Jun 23 15:36:17 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Mon Jun 23 15:35:22 GMT 2025","Mon Jun 23 15:35:22 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Mon Jun 23 15:35:13 GMT 2025","Mon Jun 23 15:35:13 GMT 2025","715","openwrt-one","test_base","","","","test_uname",""
"passed","Mon Jun 23 15:36:44 GMT 2025","Mon Jun 23 15:36:45 GMT 2025","654","genexis-pulse-ex400","test_base","","","","test_free_memory",""
"skipped","Mon Jun 23 15:34:37 GMT 2025","Mon Jun 23 15:34:37 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"skipped","Mon Jun 23 15:35:17 GMT 2025","Mon Jun 23 15:35:17 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Mon Jun 23 15:36:17 GMT 2025","Mon Jun 23 15:36:17 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"skipped","Mon Jun 23 15:36:05 GMT 2025","Mon Jun 23 15:36:05 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Mon Jun 23 15:36:57 GMT 2025","Mon Jun 23 15:36:57 GMT 2025","68","genexis-pulse-ex400","test_base","","","","test_ssh",""
"skipped","Mon Jun 23 15:35:46 GMT 2025","Mon Jun 23 15:35:46 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Mon Jun 23 15:37:02 GMT 2025","Mon Jun 23 15:37:02 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Mon Jun 23 15:35:13 GMT 2025","Mon Jun 23 15:35:14 GMT 2025","948","openwrt-one","test_base","","","","test_ubus_system_board",""
"skipped","Mon Jun 23 15:37:02 GMT 2025","Mon Jun 23 15:37:02 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"skipped","Mon Jun 23 15:34:29 GMT 2025","Mon Jun 23 15:34:29 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Mon Jun 23 15:35:15 GMT 2025","Mon Jun 23 15:35:16 GMT 2025","905","openwrt-one","test_base","","","","test_port_22_open",""
"passed","Mon Jun 23 15:37:01 GMT 2025","Mon Jun 23 15:37:02 GMT 2025","889","genexis-pulse-ex400","test_lan","","","","test_lan_interface_address",""
"passed","Mon Jun 23 15:35:43 GMT 2025","Mon Jun 23 15:35:45 GMT 2025","2624","turris-omnia","test_base","","","","test_shell",""
"passed","Mon Jun 23 15:35:12 GMT 2025","Mon Jun 23 15:35:13 GMT 2025","817","openwrt-one","test_base","","","","test_echo",""
"skipped","Mon Jun 23 15:34:37 GMT 2025","Mon Jun 23 15:34:37 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Mon Jun 23 15:36:43 GMT 2025","Mon Jun 23 15:36:43 GMT 2025","667","genexis-pulse-ex400","test_base","","","","test_uname",""
"skipped","Mon Jun 23 15:37:02 GMT 2025","Mon Jun 23 15:37:02 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Mon Jun 23 15:36:05 GMT 2025","Mon Jun 23 15:36:13 GMT 2025","7699","turris-omnia","test_base","","","","test_kernel_errors",""
"skipped","Mon Jun 23 15:36:57 GMT 2025","Mon Jun 23 15:36:57 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Mon Jun 23 15:35:59 GMT 2025","Mon Jun 23 15:36:04 GMT 2025","4095","turris-omnia","test_base","","","","test_port_22_open",""
"skipped","Mon Jun 23 15:35:46 GMT 2025","Mon Jun 23 15:35:46 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Mon Jun 23 15:36:05 GMT 2025","Mon Jun 23 15:36:05 GMT 2025","52","turris-omnia","test_base","","","","test_ssh",""
