"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 15:53:45 GMT 2025","Sun Jun 29 15:53:46 GMT 2025","1713","qemu-x86-64","test_base","","","","test_dropbear_startup",""
"skipped","Sun Jun 29 15:53:02 GMT 2025","Sun Jun 29 15:53:02 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Sun Jun 29 15:53:51 GMT 2025","Sun Jun 29 15:53:51 GMT 2025","372","qemu-x86-64","test_base","","","","test_ubus_system_board",""
"passed","Sun Jun 29 15:53:02 GMT 2025","Sun Jun 29 15:53:02 GMT 2025","61","qemu-malta-be","test_lan","","","","test_lan_interface_address",""
"passed","Sun Jun 29 15:53:00 GMT 2025","Sun Jun 29 15:53:00 GMT 2025","122","qemu-malta-be","test_base","","","","test_ubus_system_board",""
"skipped","Sun Jun 29 15:53:52 GMT 2025","Sun Jun 29 15:53:52 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"skipped","Sun Jun 29 15:52:36 GMT 2025","Sun Jun 29 15:52:36 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Sun Jun 29 15:53:00 GMT 2025","Sun Jun 29 15:53:00 GMT 2025","70","qemu-malta-be","test_base","","","","test_ssh",""
"skipped","Sun Jun 29 15:53:52 GMT 2025","Sun Jun 29 15:53:52 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Sun Jun 29 15:53:51 GMT 2025","Sun Jun 29 15:53:52 GMT 2025","526","qemu-x86-64","test_base","","","","test_kernel_errors",""
"passed","Sun Jun 29 15:53:51 GMT 2025","Sun Jun 29 15:53:51 GMT 2025","155","qemu-x86-64","test_base","","","","test_free_memory",""
"passed","Sun Jun 29 15:53:02 GMT 2025","Sun Jun 29 15:53:02 GMT 2025","275","qemu-malta-be","test_base","","","","test_kernel_errors",""
"passed","Sun Jun 29 15:53:44 GMT 2025","Sun Jun 29 15:53:45 GMT 2025","158","qemu-x86-64","test_base","","","","test_shell",""
"skipped","Sun Jun 29 15:53:02 GMT 2025","Sun Jun 29 15:53:02 GMT 2025","1","tests","test_base","","","","test_sysupgrade_backup",""
"skipped","Sun Jun 29 15:53:02 GMT 2025","Sun Jun 29 15:53:02 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"skipped","Sun Jun 29 15:53:51 GMT 2025","Sun Jun 29 15:53:51 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"skipped","Sun Jun 29 15:53:05 GMT 2025","Sun Jun 29 15:53:05 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Sun Jun 29 15:53:50 GMT 2025","Sun Jun 29 15:53:50 GMT 2025","147","qemu-x86-64","test_base","","","","test_ssh",""
"passed","Sun Jun 29 15:53:51 GMT 2025","Sun Jun 29 15:53:51 GMT 2025","184","qemu-x86-64","test_base","","","","test_uname",""
"skipped","Sun Jun 29 15:53:02 GMT 2025","Sun Jun 29 15:53:02 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Sun Jun 29 15:52:56 GMT 2025","Sun Jun 29 15:52:56 GMT 2025","59","qemu-malta-be","test_base","","","","test_shell",""
"skipped","Sun Jun 29 15:52:30 GMT 2025","Sun Jun 29 15:52:30 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Sun Jun 29 15:53:00 GMT 2025","Sun Jun 29 15:53:00 GMT 2025","51","qemu-malta-be","test_base","","","","test_uname",""
"skipped","Sun Jun 29 15:53:52 GMT 2025","Sun Jun 29 15:53:52 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"skipped","Sun Jun 29 15:52:36 GMT 2025","Sun Jun 29 15:52:36 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Sun Jun 29 15:53:00 GMT 2025","Sun Jun 29 15:53:02 GMT 2025","1313","qemu-malta-be","test_base","","","","test_free_memory",""
"skipped","Sun Jun 29 15:53:05 GMT 2025","Sun Jun 29 15:53:05 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
