"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 10:14:10 GMT 2025","Mon Jun 23 10:14:14 GMT 2025","3861","turris-omnia","test_base","","","","test_echo",""
"skipped","Mon Jun 23 10:14:41 GMT 2025","Mon Jun 23 10:14:41 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"skipped","Mon Jun 23 10:13:01 GMT 2025","Mon Jun 23 10:13:01 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"skipped","Mon Jun 23 10:14:30 GMT 2025","Mon Jun 23 10:14:30 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Mon Jun 23 10:14:41 GMT 2025","Mon Jun 23 10:14:41 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Mon Jun 23 10:14:41 GMT 2025","Mon Jun 23 10:14:41 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Mon Jun 23 10:14:30 GMT 2025","Mon Jun 23 10:14:30 GMT 2025","51","turris-omnia","test_base","","","","test_ssh",""
"passed","Mon Jun 23 10:14:17 GMT 2025","Mon Jun 23 10:14:21 GMT 2025","4317","turris-omnia","test_base","","","","test_ubus_system_board",""
"skipped","Mon Jun 23 10:13:01 GMT 2025","Mon Jun 23 10:13:01 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Mon Jun 23 10:14:41 GMT 2025","Mon Jun 23 10:14:41 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Mon Jun 23 10:14:14 GMT 2025","Mon Jun 23 10:14:17 GMT 2025","2934","turris-omnia","test_base","","","","test_uname",""
"passed","Mon Jun 23 10:14:21 GMT 2025","Mon Jun 23 10:14:24 GMT 2025","2889","turris-omnia","test_base","","","","test_free_memory",""
"passed","Mon Jun 23 10:14:30 GMT 2025","Mon Jun 23 10:14:37 GMT 2025","7688","turris-omnia","test_base","","","","test_kernel_errors",""
"passed","Mon Jun 23 10:14:07 GMT 2025","Mon Jun 23 10:14:10 GMT 2025","2626","turris-omnia","test_base","","","","test_shell",""
"passed","Mon Jun 23 10:14:37 GMT 2025","Mon Jun 23 10:14:41 GMT 2025","3854","turris-omnia","test_lan","","","","test_lan_interface_address",""
"passed","Mon Jun 23 10:14:24 GMT 2025","Mon Jun 23 10:14:28 GMT 2025","4092","turris-omnia","test_base","","","","test_port_22_open",""
"skipped","Mon Jun 23 10:14:30 GMT 2025","Mon Jun 23 10:14:30 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
