"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 25 08:17:36 GMT 2025","Wed Jun 25 08:17:37 GMT 2025","747","qemu-armsr-armv8","test_base","","","","test_ubus_system_board",""
"passed","Wed Jun 25 08:17:08 GMT 2025","Wed Jun 25 08:17:09 GMT 2025","1451","qemu-malta-be","test_base","","","","test_dropbear_startup",""
"skipped","Wed Jun 25 08:17:35 GMT 2025","Wed Jun 25 08:17:35 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Wed Jun 25 08:17:45 GMT 2025","Wed Jun 25 08:17:45 GMT 2025","285","qemu-armsr-armv8","test_base","","","","test_ssh",""
"skipped","Wed Jun 25 08:17:13 GMT 2025","Wed Jun 25 08:17:13 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Wed Jun 25 08:17:16 GMT 2025","Wed Jun 25 08:17:17 GMT 2025","207","qemu-x86-64","test_base","","","","test_free_memory",""
"passed","Wed Jun 25 08:17:13 GMT 2025","Wed Jun 25 08:17:14 GMT 2025","819","genexis-pulse-ex400","test_base","","","","test_echo",""
"skipped","Wed Jun 25 08:17:22 GMT 2025","Wed Jun 25 08:17:22 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Wed Jun 25 08:16:58 GMT 2025","Wed Jun 25 08:16:59 GMT 2025","607","openwrt-one","test_base","","","","test_shell",""
"skipped","Wed Jun 25 08:19:22 GMT 2025","Wed Jun 25 08:19:22 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"skipped","Wed Jun 25 08:17:25 GMT 2025","Wed Jun 25 08:17:25 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Wed Jun 25 08:17:18 GMT 2025","Wed Jun 25 08:17:19 GMT 2025","846","hp-msm460","test_lan","","","","test_lan_interface_address",""
"passed","Wed Jun 25 08:19:20 GMT 2025","Wed Jun 25 08:19:20 GMT 2025","52","turris-omnia","test_base","","","","test_ssh",""
"skipped","Wed Jun 25 08:17:13 GMT 2025","Wed Jun 25 08:17:13 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Wed Jun 25 08:18:59 GMT 2025","Wed Jun 25 08:19:02 GMT 2025","2929","turris-omnia","test_base","","","","test_uname",""
"passed","Wed Jun 25 08:17:13 GMT 2025","Wed Jun 25 08:17:13 GMT 2025","601","genexis-pulse-ex400","test_base","","","","test_shell",""
"passed","Wed Jun 25 08:17:14 GMT 2025","Wed Jun 25 08:17:15 GMT 2025","676","genexis-pulse-ex400","test_base","","","","test_uname",""
