"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_https_download","tests","Tue Jul 08 00:28:10 GMT 2025","skipped","Tue Jul 08 00:28:10 GMT 2025","","test_wan","",""
"","891","test_lan_interface_address","genexis_pulse-ex400","Tue Jul 08 00:31:10 GMT 2025","passed","Tue Jul 08 00:31:11 GMT 2025","","test_lan","",""
"","0","test_sysupgrade_backup","tests","Tue Jul 08 00:30:22 GMT 2025","skipped","Tue Jul 08 00:30:22 GMT 2025","","test_base","",""
"","686","test_kernel_errors","qemu-x86-64","Tue Jul 08 00:28:32 GMT 2025","passed","Tue Jul 08 00:28:33 GMT 2025","","test_base","",""
"","603","test_shell","tplink_tl-wdr3600-v1","Tue Jul 08 00:27:53 GMT 2025","passed","Tue Jul 08 00:27:54 GMT 2025","","test_base","",""
"","0","test_apk_add_ucert","tests","Tue Jul 08 00:27:46 GMT 2025","skipped","Tue Jul 08 00:27:46 GMT 2025","","test_apk","",""
"","307","test_ssh_supported_algorithms","tplink_tl-wr1043nd-v3","Tue Jul 08 00:30:27 GMT 2025","passed","Tue Jul 08 00:30:27 GMT 2025","","test_network_security","",""
"","0","test_apk_add_ucert","tests","Tue Jul 08 00:29:27 GMT 2025","skipped","Tue Jul 08 00:29:27 GMT 2025","","test_apk","",""
"","0","test_opkg_install_ucert","tests","Tue Jul 08 00:28:43 GMT 2025","skipped","Tue Jul 08 00:28:43 GMT 2025","","test_opkg","",""
"","0","test_opkg_procd_installed","tests","Tue Jul 08 00:28:21 GMT 2025","skipped","Tue Jul 08 00:28:21 GMT 2025","","test_opkg","",""
"","47","test_free_memory","qemu-malta-be","Tue Jul 08 00:28:20 GMT 2025","passed","Tue Jul 08 00:28:20 GMT 2025","","test_base","",""
"","0","test_opkg_procd_installed","tests","Tue Jul 08 00:28:43 GMT 2025","skipped","Tue Jul 08 00:28:43 GMT 2025","","test_opkg","",""
"","93","test_ubus_system_board","tplink_tl-wdr3600-v1","Tue Jul 08 00:28:34 GMT 2025","passed","Tue Jul 08 00:28:34 GMT 2025","","test_base","",""
"","0","test_sysupgrade_backup","tests","Tue Jul 08 00:28:20 GMT 2025","skipped","Tue Jul 08 00:28:20 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Tue Jul 08 00:28:21 GMT 2025","skipped","Tue Jul 08 00:28:21 GMT 2025","","test_opkg","",""
"","124","test_ubus_system_board","tplink_tl-wr1043nd-v3","Tue Jul 08 00:30:22 GMT 2025","passed","Tue Jul 08 00:30:22 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Tue Jul 08 00:30:27 GMT 2025","skipped","Tue Jul 08 00:30:27 GMT 2025","","test_opkg","",""
"","0","test_sysupgrade_backup_u","tests","Tue Jul 08 00:31:10 GMT 2025","skipped","Tue Jul 08 00:31:10 GMT 2025","","test_base","",""
"","231","test_ssh_supported_algorithms","tplink_tl-wdr3600-v1","Tue Jul 08 00:28:35 GMT 2025","passed","Tue Jul 08 00:28:35 GMT 2025","","test_network_security","",""
"","0","test_opkg_procd_installed","tests","Tue Jul 08 00:28:35 GMT 2025","skipped","Tue Jul 08 00:28:35 GMT 2025","","test_opkg","",""
"","86","test_uname","tplink_tl-wdr3600-v1","Tue Jul 08 00:28:34 GMT 2025","passed","Tue Jul 08 00:28:34 GMT 2025","","test_base","",""
"","563","test_ssh_supported_algorithms","qemu-x86-64","Tue Jul 08 00:28:33 GMT 2025","passed","Tue Jul 08 00:28:34 GMT 2025","","test_network_security","",""
"","0","test_shell","","Tue Jul 08 00:27:43 GMT 2025","skipped","Tue Jul 08 00:27:43 GMT 2025","","","",""
"","233","test_ubus_system_board","qemu-x86-64","Tue Jul 08 00:28:32 GMT 2025","passed","Tue Jul 08 00:28:32 GMT 2025","","test_base","",""
"","0","test_sysupgrade_backup_u","tests","Tue Jul 08 00:28:08 GMT 2025","skipped","Tue Jul 08 00:28:08 GMT 2025","","test_base","",""
"","0","test_apk_add_ucert","tests","Tue Jul 08 00:27:45 GMT 2025","skipped","Tue Jul 08 00:27:45 GMT 2025","","test_apk","",""
"","0","test_apk_procd_installed","tests","Tue Jul 08 00:27:09 GMT 2025","skipped","Tue Jul 08 00:27:09 GMT 2025","","test_apk","",""
"","0","test_apk_add_ucert","tests","Tue Jul 08 00:29:46 GMT 2025","skipped","Tue Jul 08 00:29:46 GMT 2025","","test_apk","",""
"","0","test_opkg_install_ucert","tests","Tue Jul 08 00:28:35 GMT 2025","skipped","Tue Jul 08 00:28:35 GMT 2025","","test_opkg","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Tue Jul 08 00:28:34 GMT 2025","skipped","Tue Jul 08 00:28:34 GMT 2025","","test_wifi","",""
"","159","test_kernel_errors","genexis_pulse-ex400","Tue Jul 08 00:31:10 GMT 2025","passed","Tue Jul 08 00:31:10 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Tue Jul 08 00:28:10 GMT 2025","skipped","Tue Jul 08 00:28:10 GMT 2025","","test_opkg","",""
"","0","test_sysupgrade_backup","tests","Tue Jul 08 00:28:32 GMT 2025","skipped","Tue Jul 08 00:28:32 GMT 2025","","test_base","",""
"","59","test_free_memory","genexis_pulse-ex400","Tue Jul 08 00:31:09 GMT 2025","passed","Tue Jul 08 00:31:10 GMT 2025","","test_base","",""
"","8672","test_dropbear_startup","tplink_tl-wr1043nd-v3","Tue Jul 08 00:30:11 GMT 2025","passed","Tue Jul 08 00:30:20 GMT 2025","","test_base","",""
"","0","test_opkg_procd_installed","tests","Tue Jul 08 00:31:11 GMT 2025","skipped","Tue Jul 08 00:31:11 GMT 2025","","test_opkg","",""
"","189","test_free_memory","qemu-x86-64","Tue Jul 08 00:28:32 GMT 2025","passed","Tue Jul 08 00:28:32 GMT 2025","","test_base","",""
