"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test memory usage and check for memory leaks.","52","test_memory_usage","qemu-malta-be","Sat Jul 12 14:09:34 GMT 2025","passed","Sat Jul 12 14:09:34 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_opkg_install_ucert","tests","Sat Jul 12 14:09:07 GMT 2025","skipped","Sat Jul 12 14:09:07 GMT 2025","","test_opkg","",""
"","0","test_sysupgrade_backup_u","tests","Sat Jul 12 14:08:28 GMT 2025","skipped","Sat Jul 12 14:08:28 GMT 2025","","test_base","",""
"","89","test_free_memory","tplink_tl-wdr3600-v1","Sat Jul 12 14:10:01 GMT 2025","passed","Sat Jul 12 14:10:02 GMT 2025","","test_base","",""
"Test number of running processes is reasonable.","83","test_process_count","tplink_tl-wdr3600-v1","Sat Jul 12 14:10:04 GMT 2025","passed","Sat Jul 12 14:10:04 GMT 2025","TestSystemHealth","test_system_health","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Sat Jul 12 14:09:35 GMT 2025","skipped","Sat Jul 12 14:09:35 GMT 2025","","test_wifi","",""
"","0","test_https_download","tests","Sat Jul 12 14:07:57 GMT 2025","skipped","Sat Jul 12 14:07:57 GMT 2025","","test_wan","",""
"","650","test_kernel_errors","qemu-x86-64","Sat Jul 12 14:09:05 GMT 2025","passed","Sat Jul 12 14:09:06 GMT 2025","","test_base","",""
"","79","test_echo","tplink_tl-wr1043nd-v3","Sat Jul 12 14:10:06 GMT 2025","passed","Sat Jul 12 14:10:06 GMT 2025","","test_base","",""
"Test system-wide open file descriptors.","41","test_open_file_descriptors","qemu-malta-be","Sat Jul 12 14:09:35 GMT 2025","passed","Sat Jul 12 14:09:35 GMT 2025","TestSystemHealth","test_system_health","",""
"","59","test_uname","genexis_pulse-ex400","Sat Jul 12 14:08:27 GMT 2025","passed","Sat Jul 12 14:08:27 GMT 2025","","test_base","",""
"Test and record system uptime.","88","test_system_uptime","tplink_tl-wdr3600-v1","Sat Jul 12 14:10:04 GMT 2025","passed","Sat Jul 12 14:10:04 GMT 2025","TestSystemHealth","test_system_health","",""
"","0","test_sysupgrade_backup","tests","Sat Jul 12 14:07:55 GMT 2025","skipped","Sat Jul 12 14:07:55 GMT 2025","","test_base","",""
