"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 07:07:45 GMT 2025","Tue Jun 24 07:07:45 GMT 2025","52","turris-omnia","test_base","","","","test_ssh",""
"skipped","Tue Jun 24 07:06:02 GMT 2025","Tue Jun 24 07:06:02 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"skipped","Tue Jun 24 07:07:45 GMT 2025","Tue Jun 24 07:07:45 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Tue Jun 24 07:05:34 GMT 2025","Tue Jun 24 07:05:35 GMT 2025","654","genexis-pulse-ex400","test_base","","","","test_free_memory",""
"skipped","Tue Jun 24 07:06:10 GMT 2025","Tue Jun 24 07:06:10 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"skipped","Tue Jun 24 07:04:36 GMT 2025","Tue Jun 24 07:04:36 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Tue Jun 24 07:05:51 GMT 2025","Tue Jun 24 07:05:52 GMT 2025","667","openwrt-one","test_base","","","","test_uname",""
"passed","Tue Jun 24 07:05:32 GMT 2025","Tue Jun 24 07:05:33 GMT 2025","852","genexis-pulse-ex400","test_base","","","","test_echo",""
"skipped","Tue Jun 24 07:05:58 GMT 2025","Tue Jun 24 07:05:58 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Tue Jun 24 07:05:52 GMT 2025","Tue Jun 24 07:05:53 GMT 2025","943","openwrt-one","test_base","","","","test_ubus_system_board",""
"skipped","Tue Jun 24 07:04:37 GMT 2025","Tue Jun 24 07:04:37 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Tue Jun 24 07:05:49 GMT 2025","Tue Jun 24 07:05:49 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Tue Jun 24 07:04:37 GMT 2025","Tue Jun 24 07:04:37 GMT 2025","0","","","","","","test_shell",""
"skipped","Tue Jun 24 07:06:02 GMT 2025","Tue Jun 24 07:06:02 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Tue Jun 24 07:07:27 GMT 2025","Tue Jun 24 07:07:31 GMT 2025","4317","turris-omnia","test_base","","","","test_ubus_system_board",""
"skipped","Tue Jun 24 07:06:02 GMT 2025","Tue Jun 24 07:06:02 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Tue Jun 24 07:07:45 GMT 2025","Tue Jun 24 07:07:45 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Tue Jun 24 07:05:50 GMT 2025","Tue Jun 24 07:05:51 GMT 2025","811","openwrt-one","test_base","","","","test_echo",""
"skipped","Tue Jun 24 07:07:57 GMT 2025","Tue Jun 24 07:07:57 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Tue Jun 24 07:07:34 GMT 2025","Tue Jun 24 07:07:44 GMT 2025","9724","turris-omnia","test_base","","","","test_dropbear_startup",""
"skipped","Tue Jun 24 07:04:36 GMT 2025","Tue Jun 24 07:04:36 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Tue Jun 24 07:07:20 GMT 2025","Tue Jun 24 07:07:24 GMT 2025","3862","turris-omnia","test_base","","","","test_echo",""
"passed","Tue Jun 24 07:05:53 GMT 2025","Tue Jun 24 07:05:54 GMT 2025","851","genexis-pulse-ex400","test_lan","","","","test_lan_interface_address",""
"passed","Tue Jun 24 07:05:33 GMT 2025","Tue Jun 24 07:05:34 GMT 2025","953","genexis-pulse-ex400","test_base","","","","test_ubus_system_board",""
"skipped","Tue Jun 24 07:07:57 GMT 2025","Tue Jun 24 07:07:57 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Tue Jun 24 07:05:49 GMT 2025","Tue Jun 24 07:05:49 GMT 2025","55","genexis-pulse-ex400","test_base","","","","test_ssh",""
"passed","Tue Jun 24 07:07:31 GMT 2025","Tue Jun 24 07:07:34 GMT 2025","2889","turris-omnia","test_base","","","","test_free_memory",""
"skipped","Tue Jun 24 07:04:37 GMT 2025","Tue Jun 24 07:04:37 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Tue Jun 24 07:05:58 GMT 2025","Tue Jun 24 07:06:02 GMT 2025","3792","openwrt-one","test_base","","","","test_kernel_errors",""
"passed","Tue Jun 24 07:05:53 GMT 2025","Tue Jun 24 07:05:54 GMT 2025","663","openwrt-one","test_base","","","","test_free_memory",""
"passed","Tue Jun 24 07:05:58 GMT 2025","Tue Jun 24 07:05:58 GMT 2025","45","openwrt-one","test_base","","","","test_ssh",""
"skipped","Tue Jun 24 07:05:58 GMT 2025","Tue Jun 24 07:05:58 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"skipped","Tue Jun 24 07:04:37 GMT 2025","Tue Jun 24 07:04:37 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Tue Jun 24 07:07:53 GMT 2025","Tue Jun 24 07:07:57 GMT 2025","3854","turris-omnia","test_lan","","","","test_lan_interface_address",""
"passed","Tue Jun 24 07:05:33 GMT 2025","Tue Jun 24 07:05:33 GMT 2025","675","genexis-pulse-ex400","test_base","","","","test_uname",""
"skipped","Tue Jun 24 07:07:57 GMT 2025","Tue Jun 24 07:07:57 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"skipped","Tue Jun 24 07:06:02 GMT 2025","Tue Jun 24 07:06:02 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Tue Jun 24 07:07:45 GMT 2025","Tue Jun 24 07:07:53 GMT 2025","7691","turris-omnia","test_base","","","","test_kernel_errors",""
"skipped","Tue Jun 24 07:05:54 GMT 2025","Tue Jun 24 07:05:54 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Tue Jun 24 07:07:24 GMT 2025","Tue Jun 24 07:07:27 GMT 2025","2929","turris-omnia","test_base","","","","test_uname",""
"skipped","Tue Jun 24 07:07:57 GMT 2025","Tue Jun 24 07:07:57 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Tue Jun 24 07:05:54 GMT 2025","Tue Jun 24 07:05:56 GMT 2025","2907","openwrt-one","test_base","","","","test_dropbear_startup",""
"skipped","Tue Jun 24 07:05:54 GMT 2025","Tue Jun 24 07:05:54 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"skipped","Tue Jun 24 07:05:54 GMT 2025","Tue Jun 24 07:05:54 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"skipped","Tue Jun 24 07:05:54 GMT 2025","Tue Jun 24 07:05:54 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Tue Jun 24 07:05:31 GMT 2025","Tue Jun 24 07:05:32 GMT 2025","573","genexis-pulse-ex400","test_base","","","","test_shell",""
"passed","Tue Jun 24 07:06:02 GMT 2025","Tue Jun 24 07:06:02 GMT 2025","862","openwrt-one","test_lan","","","","test_lan_interface_address",""
"passed","Tue Jun 24 07:05:49 GMT 2025","Tue Jun 24 07:05:53 GMT 2025","3826","genexis-pulse-ex400","test_base","","","","test_kernel_errors",""
"passed","Tue Jun 24 07:05:35 GMT 2025","Tue Jun 24 07:05:44 GMT 2025","8996","genexis-pulse-ex400","test_base","","","","test_dropbear_startup",""
"passed","Tue Jun 24 07:05:50 GMT 2025","Tue Jun 24 07:05:50 GMT 2025","567","openwrt-one","test_base","","","","test_shell",""
"skipped","Tue Jun 24 07:05:49 GMT 2025","Tue Jun 24 07:05:49 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"skipped","Tue Jun 24 07:04:37 GMT 2025","Tue Jun 24 07:04:37 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Tue Jun 24 07:07:17 GMT 2025","Tue Jun 24 07:07:20 GMT 2025","2625","turris-omnia","test_base","","","","test_shell",""
"skipped","Tue Jun 24 07:06:10 GMT 2025","Tue Jun 24 07:06:10 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
