"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 15:56:24 GMT 2025","Mon Jun 23 15:56:27 GMT 2025","2959","openwrt-one","test_base","","","","test_dropbear_startup",""
"skipped","Mon Jun 23 15:56:28 GMT 2025","Mon Jun 23 15:56:28 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Mon Jun 23 15:56:20 GMT 2025","Mon Jun 23 15:56:21 GMT 2025","572","openwrt-one","test_base","","","","test_shell",""
"passed","Mon Jun 23 15:57:40 GMT 2025","Mon Jun 23 15:57:42 GMT 2025","2891","turris-omnia","test_base","","","","test_free_memory",""
"skipped","Mon Jun 23 15:55:40 GMT 2025","Mon Jun 23 15:55:40 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"skipped","Mon Jun 23 15:57:01 GMT 2025","Mon Jun 23 15:57:01 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"skipped","Mon Jun 23 15:56:33 GMT 2025","Mon Jun 23 15:56:33 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Mon Jun 23 15:56:34 GMT 2025","Mon Jun 23 15:56:35 GMT 2025","853","genexis-pulse-ex400","test_base","","","","test_echo",""
"passed","Mon Jun 23 15:56:32 GMT 2025","Mon Jun 23 15:56:33 GMT 2025","847","openwrt-one","test_lan","","","","test_lan_interface_address",""
"skipped","Mon Jun 23 15:57:01 GMT 2025","Mon Jun 23 15:57:01 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Mon Jun 23 15:56:22 GMT 2025","Mon Jun 23 15:56:22 GMT 2025","671","openwrt-one","test_base","","","","test_uname",""
"skipped","Mon Jun 23 15:56:28 GMT 2025","Mon Jun 23 15:56:28 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Mon Jun 23 15:57:01 GMT 2025","Mon Jun 23 15:57:01 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"skipped","Mon Jun 23 15:56:56 GMT 2025","Mon Jun 23 15:56:56 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Mon Jun 23 15:58:06 GMT 2025","Mon Jun 23 15:58:06 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"passed","Mon Jun 23 15:56:22 GMT 2025","Mon Jun 23 15:56:23 GMT 2025","947","openwrt-one","test_base","","","","test_ubus_system_board",""
"skipped","Mon Jun 23 15:56:33 GMT 2025","Mon Jun 23 15:56:33 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"passed","Mon Jun 23 15:56:56 GMT 2025","Mon Jun 23 15:56:56 GMT 2025","77","genexis-pulse-ex400","test_base","","","","test_ssh",""
"passed","Mon Jun 23 15:56:36 GMT 2025","Mon Jun 23 15:56:37 GMT 2025","963","genexis-pulse-ex400","test_base","","","","test_ubus_system_board",""
"skipped","Mon Jun 23 15:55:40 GMT 2025","Mon Jun 23 15:55:40 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Mon Jun 23 15:57:00 GMT 2025","Mon Jun 23 15:57:01 GMT 2025","858","genexis-pulse-ex400","test_lan","","","","test_lan_interface_address",""
"passed","Mon Jun 23 15:57:42 GMT 2025","Mon Jun 23 15:57:52 GMT 2025","9960","turris-omnia","test_base","","","","test_dropbear_startup",""
